cc,price,model,vers,year,km,fuel,gear,body,color,deal,city,zip,reg,url,id
NL,8445,Auris,1.8 Full Hybrid Dynamic,2010,195035,hybride,automaat,hatchback,Grijs metallic,Louwman Tilburg,TILBURG,5048 AB,,https://occasions.toyota.nl/auto/675254232,675254232
NL,9885,Auris,Touring Sports 1.8 Hybrid Aspiration,2014,208778,hybride,automaat,stationwagon,Deep Titanium metallic (donker grijs metallic),Oostendorp Middelrode,MIDDELRODE,5258 TZ,,https://occasions.toyota.nl/auto/128197607,128197607
NL,9940,Auris,1.8 Full Hybrid Dynamic,2010,119575,hybride,automaat,hatchback,(209),Mengelers Automotive Roermond B.V.,ROERMOND,6042 EX,,https://occasions.toyota.nl/auto/818361218,818361218
NL,9999,Auris,1.8 Hybrid Lease Dealer Onderhouden Trekhaak Parkeersensoren Clima Cruise Camera,2013,189379,hybride,automaat,hatchback,Grijs,Automobielbedrijf Van der Linde Steenwijk B.V.,STEENWIJK,8331 TJ,,https://occasions.toyota.nl/auto/812339459,812339459
ES,10900,Auris,ACTIVE + P.SENSO,2015,269468,Híbrido Gasolina,Automático,Touring Sports,Bronce Maroc,"AUTOMÓVILES KEN, S.L. (Ávila) - Exposición y Taller",Ávila,05004,ÁVILA,https://www.toyota.es/coches-segunda-mano/ficha/c3392671-e928-4e4b-9ed8-1418f509db8c,c3392671-e928-4e4b-9ed8-1418f509db8c
NL,10950,Auris,1.8 Hybrid Aspiration,2013,194223,hybride,automaat,hatchback,Grijs metallic,Bloemberg Arnhem,ARNHEM,6825 MB,,https://occasions.toyota.nl/auto/749335947,749335947
NL,11450,Auris,1.8 Hybrid Lease,2013,186936,hybride,automaat,hatchback,Wit parelmoer,Louwman Hellevoetsluis,HELLEVOETSLUIS,3225 LR,,https://occasions.toyota.nl/auto/529154478,529154478
NL,11999,Auris,1.8 Hybrid Business,2012,137052,hybride,automaat,hatchback,Ultra silver metallic (grijs metallic),Van Gent Autobedrijf Veenendaal B.V.,VEENENDAAL,3902 HR,,https://occasions.toyota.nl/auto/856337873,856337873
BE,12250,Auris,1.8 HSD Dynamic,2015,165267,Hybride Essence,Boîte automatique,Berline,Rouge,Nachsem Malmedy,MALMEDY,4960,,https://fr.toyota.be/occasions/pdp.toyota-auris-2015-berline-boite-automatique-hybride-396a2715-c73c-462b-a8a6-3d822a55d639,396a2715-c73c-462b-a8a6-3d822a55d639
DE,12490,C-HR,Club + LED,2019,197183,Hybrid Benzin,Automatik,5-Türer,novaweiß perleffekt,DIT München GmbH,München,80687,Bayern,https://www.toyota.de/gebrauchtwagen/pdp.toyota-c-hr-2019-5-turer-automatik-hybrid-3103675e-07a9-4253-83b6-eed8b46d5289,3103675e-07a9-4253-83b6-eed8b46d5289
ES,12490,Auris,Touring Sports Active 140H T/A (e-CVT),2019,197688,Híbrido Gasolina,Automático,Touring Sports,Blanco Classic,"ASTURHIBRIDO, S.L. (Gijón) - Exposición y Taller",Gijón,33392,ASTURIAS,https://www.toyota.es/coches-segunda-mano/ficha/36feef62-9906-4827-817f-a2567e5bb894,36feef62-9906-4827-817f-a2567e5bb894
NL,12795,Auris,1.8 Hybrid Aspiration,2015,154192,hybride,automaat,hatchback,Pure White (licht wit),Louwman Amsterdam,AMSTERDAM ZUID-OOST,1101 GC,,https://occasions.toyota.nl/auto/317581496,317581496
NL,12980,Auris,1.8 Hybrid Dynamic Met Afneembare Trekhaak,2014,150561,hybride,automaat,hatchback,Night Sky Black metallic (donker zwart metallic),Botman Schagen B.V. ,SCHAGEN,1742 PC,,https://occasions.toyota.nl/auto/311213837,311213837
FR,12990,Auris,HSD 136h Dynamic,2016,159104,Hybride Essence,Boîte automatique,Berline 5 portes,Blanc,ADL - Auto Distribution Languedocienne - Sete,SETE,34200,Languedoc-Roussillon,https://www.toyota.fr/occasions/voiture/3b4d8b4c-c6bc-4822-82d5-e93b3a32db07,3b4d8b4c-c6bc-4822-82d5-e93b3a32db07
NL,12999,Auris,Touring Sports 1.8 Hybrid Now,2017,195976,hybride,automaat,stationwagon,(1G2),van Leussen Zutphen b.v.,ZUTPHEN,7207 BG,,https://occasions.toyota.nl/auto/140813286,140813286
FR,13480,Auris Touring Sports,HSD 136h Collection,2018,181319,Hybride Essence,Boîte automatique,Break 5 portes,Rouge Allure bi-ton Toit Noir,STA 45 Orléans Nord,Fleury-les-Aubray,45400,CENTRE-VAL-DE-LOIRE,https://www.toyota.fr/occasions/voiture/9905149b-4bd4-452c-b326-b8f1d0c09c97,9905149b-4bd4-452c-b326-b8f1d0c09c97
NL,13499,Auris,Touring Sports 1.8 Hybrid Aspiration,2015,186591,hybride,automaat,stationwagon,Avantgarde bronze metallic (bruin metallic),Van Gent Naarden B.V.,NAARDEN,1411 DE,,https://occasions.toyota.nl/auto/319050026,319050026
NL,13499,Auris,Touring Sports 1.8 Hybrid Dynamic Dealer Onderhouden Keyless Navi Clima Cruise,2018,228108,hybride,automaat,stationwagon,Zwart metallic,Automobielbedrijf Van der Linde Steenwijk B.V.,STEENWIJK,8331 TJ,,https://occasions.toyota.nl/auto/414222164,414222164
NL,13499,Auris,Touring Sports 1.8 Hybrid Lease Pro,2015,204929,hybride,automaat,stationwagon,Pearl white parelmoer (wit parelmoer),Van Gent Autobedrijf Ede B.V.,EDE GLD,6716 BM,,https://occasions.toyota.nl/auto/951380559,951380559
ES,13500,Auris,5 Puertas ACTIVE 140H Automático (e-CVT),0,161430,Híbrido Gasolina,Automático,5 Puertas,Otros,"NIMAUTO, S.L. (Jerez de la Frontera) - Vehículos de Ocasión y Exposición Toyota Professional",Jerez de la Frontera,11407,Cádiz,https://www.toyota.es/coches-segunda-mano/ficha/8d27f194-e436-49a8-a70f-5950cd3a3566,8d27f194-e436-49a8-a70f-5950cd3a3566
NL,13799,Auris,1.8 Hybrid Dynamic,2018,181841,hybride,automaat,hatchback,(1G2),Automobielbedrijf Kooijman Vianen B.V.,VIANEN UT,4131 NH,,https://occasions.toyota.nl/auto/524031086,524031086
NL,13844,Auris,Touring Sports 1.8 Hybrid Aspiration,2016,159175,hybride,automaat,stationwagon,(8T5),Auto Totaal Service Nieuwegein B.V.,NIEUWEGEIN,3433 PV,,https://occasions.toyota.nl/auto/571963858,571963858
NL,13900,Auris,Touring Sports 1.8 Hybrid Lease,2015,189709,hybride,automaat,stationwagon,(1G6),Oostendorp Venray,VENRAY,5803 AP,,https://occasions.toyota.nl/auto/688736592,688736592
NL,13900,Auris,Touring Sports 1.8 Hybrid Lease,2014,159043,hybride,automaat,stationwagon,Wit parelmoer,Autobedrijf Bloemberg B.V.,ZEVENAAR,6902 PC,,https://occasions.toyota.nl/auto/877012045,877012045
NL,13945,Auris,Touring Sports 1.8 Hybrid Aspiration,2014,131197,hybride,automaat,stationwagon,Wit,Louwman Noordwijk,NOORDWIJK ZH,2201 TX,,https://occasions.toyota.nl/auto/500694470,500694470
NL,13950,Auris,Touring Sports 1.8 Hybrid Dynamic Go,2017,178181,hybride,automaat,stationwagon,Grijs metallic,Louwman Dordrecht,DORDRECHT,3316 BE,,https://occasions.toyota.nl/auto/312388734,312388734
FR,13990,Auris,HSD 136h Dynamic,2014,84783,Hybride Essence,Boîte automatique,Berline 5 portes,Rouge Persan,REY SAS,SAINT MEMMIE- (Châlons-en-Champagne),51470,Champagne-Ardenne,https://www.toyota.fr/occasions/voiture/32a31c6d-e891-44a9-997c-3d1e4257d964,32a31c6d-e891-44a9-997c-3d1e4257d964
FR,13990,Auris,HSD 136h Dynamic,2015,168957,Hybride Essence,Boîte automatique,Berline 5 portes,Bleu Denim,GCA LE MANS,LE MANS,72001,Pays-De-La-Loire,https://www.toyota.fr/occasions/voiture/36090ce0-402a-4e08-98f8-0bb0a43f449e,36090ce0-402a-4e08-98f8-0bb0a43f449e
NL,14450,Auris,1.8 Hybrid Dynamic,2017,160563,hybride,automaat,hatchback,Wit,Louwman Dordrecht,DORDRECHT,3316 BE,,https://occasions.toyota.nl/auto/584907747,584907747
DE,14490,C-HR,Flow + CAF,2019,114000,Hybrid Benzin,Automatik,5-Türer,marlingrau metallic,M.C.F. Motor Company Fahrzeugvertriebsgesellschaft mbH,Schönefeld,12529,Brandenburg,https://www.toyota.de/gebrauchtwagen/pdp.toyota-c-hr-2019-5-turer-automatik-hybrid-a8dfe0d0-b34d-4ae8-a66f-979b8ceaecbc,a8dfe0d0-b34d-4ae8-a66f-979b8ceaecbc
NL,14499,Auris,1.8 Hybrid Dynamic,2015,133603,hybride,automaat,hatchback,(4V8),van Leussen Deventer B.V.,DEVENTER,74210 ZN,,https://occasions.toyota.nl/auto/236341032,236341032
NL,14499,Auris,1.8 Hybrid Energy Plus,2018,186587,hybride,automaat,hatchback,Ultra silver metallic (grijs metallic),Van Gent Autobedrijf Amersfoort B.V.,AMERSFOORT,3824 MX,,https://occasions.toyota.nl/auto/422348611,422348611
NL,14499,Auris,Touring Sports 1.8 Hybrid Lease Pro,2015,183334,hybride,automaat,stationwagon,(4V8),Zonneveld Almere B.V.,ALMERE,1327 EA,,https://occasions.toyota.nl/auto/573529198,573529198
DE,14690,Auris,Basis,2018,84930,Hybrid Benzin,Automatik,5-Türer,schneeweiß,Autohaus Hirscheider-Keil GmbH,Hilpoltstein,91161,Bayern,https://www.toyota.de/gebrauchtwagen/pdp.toyota-auris-2018-5-turer-automatik-hybrid-c96246d1-ca48-493f-a803-e9a44923335c,c96246d1-ca48-493f-a803-e9a44923335c
NL,14700,Auris,1.8 Hybrid Aspiration,2016,111861,hybride,automaat,hatchback,Grijs metallic,Autobedrijf Lantinga V.O.F.,UITHUIZEN,9981 AN,,https://occasions.toyota.nl/auto/373077183,373077183
